N;P;K;temperature;humidity;ph;rainfall;label
86;59;35;2.578.720.567;8.211.124.033;6.946.636.369;2.435.120.414;rice
69;46;41;2.364.124.821;8.028.597.873;5.012.139.669;2.631.103.304;rice
91;56;37;2.343.191.632;8.056.887.849;6.363.472.207.999.990;2.695.039.162;rice
61;52;41;2.497.669.518;83.891.805;6.880.431.223;2.048.001.847;rice
67;45;38;2.272.791.041;8.217.068.809.999.990;7.300.410.836;2.608.875.056;rice
79;42;37;2.487.300.744;8.284.022.551;6.587.918.707.999.990;2.956.094.492.000.000;rice
78;43;42;2.132.376.327;8.300.320.459;7.283.736.617.000.000;1.923.197.536;rice
75;54;36;2.629.465.461;8.456.919.326;7.023.936.392;2.574.914.906;rice
97;36;45;222.286.982;8.185.872.947;6.939.083.505;2.780.791.793;rice
67;47;44;2.673.072.391;8.178.596.776;7.868.474.653;2.804.044.392;rice
73;35;38;2.488.921.174;8.197.927.117;5.005.306.977;1.859.461.429;rice
77;36;37;2.688.444.878;8.146.033.732;6.136.131.869;1.945.766.559;rice
81;41;38;2.267.846.116;8.372.874.389;75.240.800.760.000.000;2.009.133.156;rice
68;57;43;2.608.867.875;8.037.979.919;5.706.943.251;1.829.043.504;rice
72;45;35;2.542.977.518;8.294.682.591;5.758.506.323;1.953.574.542;rice
61;53;43;2.640.323.239;8.105.635.517;6.349.606.327;2.233.671.883;rice
67;43;39;2.604.371.967;8.496.907.151;59.999.690.260.000.000;1.867.536.773;rice
67;58;39;252.827.223;8.054.372.813;5.453.592.032;2.201.156.708;rice
66;60;38;2.208.576.562;8.347.038.318;6.372.576.327.000.000;2.317.364.957;rice
82;43;38;2.328.617.173;8.143.321.641;5.105.588.355;2.423.170.629;rice
84;50;44;2.548.591.986;8.140.633.547;59.353.444.060.000.000;1.826.549.356;rice
81;53;42;2.367.575.393;8.103.569.343;517.782.304;2.337.034.975;rice
91;50;40;2.082.477.109;841.341.879;6.462.391.607.000.000;23.022.422.230.000.000;rice
93;53;38;2.692.995.077;8.191.411.159;7.069.172.227;29.067.937.830.000.000;rice
90;44;38;2.383.509.503;8.388.387.074;7.473.134.377;24.120.135.130.000.000;rice
81;45;35;2.652.872.817;8.012.267.476;6.158.376.967.000.000;2.189.163.567;rice
78;40;38;2.646.428.311;8.385.642.678;7.549.873.681;2.482.256.491;rice
60;51;36;2.269.657.794;8.281.088.865;6.028.321.557.999.990;2.569.964.761;rice
88;46;42;2.268.319.059;8.346.358.271;6.604.993.475;1.942.651.719;rice
93;47;37;2.153.346.343;8.214.004.101;6.500.343.222.000.000;2.959.248.796;rice
60;55;45;2.140.865.769;8.332.931.909.999.990;5.935.745.417.000.000;2.875.766.935.000.000;rice
78;35;44;2.654.348.085;8.467.353.597;7.072.655.622;1.836.222.657;rice
65;37;40;2.335.905.428;8.359.512.273;5.333.322.606;188.413.665;rice
71;54;16;2.261.359.953;6.369.070.564;57.499.144.210.000.000;8.775.953.857;maize
61;44;17;2.610.018.422;7.157.476.937;6.931.756.557.999.990;1.022.662.445;maize
80;43;16;2.355.882.094;7.159.351.368;6.657.964.753;6.671.995.467;maize
73;58;21;1.997.215.954;5.768.272.924;6.596.060.648;6.065.171.481;maize
61;38;20;1.847.891.261;6.269.503.871;5.970.458.434;6.543.835.393;maize
68;41;16;2.177.689.322;5.780.840.636;6.158.830.619;1.020.861.694;maize
93;41;17;256.217.169;6.650.415.474;6.047.906.679;1.054.654.703;maize
89;60;19;2.519.192.419;6.669.029.010.000.000;5.913.664.501;7.806.639.649;maize
76;44;17;2.041.683.147;6.255.424.820.000.000;5.855.442.401;6.527.798.457;maize
67;60;25;2.492.162.194;6.678.627.406;5.750.254.943;1.092.162.279;maize
70;44;19;2.331.689.124;734.541.537;5.852.607.099;9.429.712.821;maize
90;49;21;2.484.016.732;683.584.573;64.725.232.870.000.000;7.405.474.936;maize
62;52;16;2.227.526.694;5.884.015.925;69.670.577.620.000.000;6.387.020.584;maize
92;44;16;1.887.751.445;6.576.816.093;6.082.973.754;9.476.189.431;maize
66;54;21;2.519.008.683;60.200.168.700.000.000;5.919.045.532;7.212.375.573;maize
63;58;22;1.825.405.352;5.528.220.433;6.204.747.652.999.990;6.372.358.154;maize
70;47;17;24.612.911.800.000.000;704.162.444;6.600.827.017;1.041.626.147;maize
61;41;17;251.420.613;6.526.185.135;6.021.902.237.000.000;7.668.456.006;maize
66;53;19;2.309.348.056;6.011.593.810.000.000;6.033.550.195;6.549.730.729;maize
74;55;19;1.805.033.737;6.289.366.992;628.886.807;8.423.613.484;maize
77;57;21;249.321.581;7.380.435.276;6.550.563.822.999.990;7.974.078.719;maize
99;50;15;1.814.710.054;7.109.445.342;5.573.286.437;8.807.753.741;maize
74;56;22;1.828.362.235;6.665.952.796;6.829.199.275;8.097.573.281;maize
83;45;21;1.883.344.471;5.875.082.029;5.716.222.912;7.975.328.959.999.990;maize
100;48;16;2.571.895.816;6.722.190.688;554.990.242;7.451.490.791;maize
79;51;16;2.533.797.709;6.849.835.977;6.586.244.581;9.646.380.213;maize
94;39;18;2.389.114.571;5.748.775.781;5.893.093.135;1.028.301.942;maize
75;49;15;2.153.574.127;7.150.905.983;5.918.263.801;1.024.852.929;maize
78;48;22;2.308.974.909;6.310.459.626;5.588.650.585;7.043.473.609;maize
87;54;20;2.561.707.368;634.711.755;6.576.418.207.000.000;1.088.303.762;maize
87;35;25;2.144.526.922;631.621.551;6.178.056.304;6.588.951.188;maize
63;43;19;1.851.816.776;5.553.128.131;6.641.906.353;90.988.051;maize
84;57;25;2.253.510.514;6.799.257.471;6.489.040.367;6.440.866.039;maize
64;35;23;2.302.038.334;6.189.472.002;5.680.361.037.999.990;6.303.843.397;maize
60;46;22;2.489.364.635;6.561.418.761;6.625.404.347.999.990;879.298.085;maize
98;44;21;2.577.175.115;74.089.114;6.524.478.032;1.074.931.917;maize
75;56;18;1.939.851.734;6.235.750.641;5.696.205.468;6.095.197.486;maize
86;55;21;2.154.156.232;5.964.024.162;6.803.931.519;1.097.515.385;maize
98;35;18;2.379.746.068;7.482.913.698;6.252.797.547.999.990;9.176.337.172;maize
76;57;18;189.802.729;7.452.600.826;6.092.725.883;9.426.249.353;maize
99;56;17;2.410.859.207;7.313.112.261;6.234.330.356;7.107.562.236;maize
60;44;23;247.947.077;7.004.556.743;5.722.579.819;7.672.860.067;maize
74;48;17;2.163.162.756;6.027.766.379;6.430.616.465;6.921.803.098;maize
89;60;17;2.537.548.751;5.721.025.565;5.983.952.675;1.017.004.306;maize
69;51;23;2.221.738.222;7.285.462.807;680.163.854;1.066.213.157;maize
96;46;22;2.058.314.011;6.900.128.641;6.499.936.446;6.629.390.357;maize
61;60;15;2.487.502.824;6.874.248.334;6.265.564.338;9.126.056.654;maize
74;58;18;2.003.728.219;5.635.606.753;6.727.303.282;109.024.141;maize
74;43;23;2.595.263.264;6.189.082.199;6.325.235.159;9.957.981.207;maize
63;43;17;1.928.889.933;6.547.050.802;6.807.487.794;713.195.307;maize
99;36;20;2.057.981.887;6.534.583.901;6.671.085.817.000.000;7.834.604.471;maize
77;36;23;2.471.417.533;5.673.426.469;6.648.725.327;8.845.361.858;maize
87;60;23;2.027.317.074;6.391.281.869;6.439.071.996;6.250.351.892;maize
60;38;17;1.841.932.981;6.423.580.251;6.474.476.516;7.641.312.437;maize
94;54;17;2.339.128.187;6.174.427.165;5.871.647.806;1.073.198.135;maize
95;38;22;1.984.939.404;6.124.500.053;5.730.617.109;1.007.689.246;maize
84;44;21;21.869.274;6.191.044.947;5.850.439.831;1.072.681.929;maize
77;58;19;228.056.033;5.650.768.935;5.791.649.933;1.015.952.794;maize
66;44;20;190.781.471;6.902.298.571;6.740.000.687.999.990;8.072.515.943;maize
63;35;16;2.202.720.976;6.535.549.924;6.272.417.541;8.373.280.082;maize
79;45;20;2.380.546.189;5.924.537.979;5.715.208.817.000.000;8.996.220.140.000.000;maize
72;60;25;1.852.510.753;690.276.233;5.773.454.729;8.810.234.397;maize
67;51;24;2.350.297.882;6.132.026.065;5.584.171.461;6.477.791.424;maize
86;36;24;2.654.986.394;7.289.187.265;5.787.268.394;7.333.636.055;maize
76;48;18;1.929.563.411;6.963.481.219;577.597.783;8.321.030.571;maize
75;53;18;2.068.899.915;594.375.337;6.864.793.607;103.651.438;maize
81;45;23;1.932.666.088;6.803.449.300.000.000;6.192.360.002.999.990;8.422.969.177;maize
73;45;21;2.460.532.218;7.358.868.502;6.636.803.222.999.990;9.659.195.302;maize
71;35;24;2.227.373.646;5.952.193.158;5.826.426.917;6.796.704.792;maize
96;54;22;2.570.196.694;6.133.450.447;6.960.358.276;8.320.711.308;maize
99;39;18;1.920.129.357;6.830.578.978;611.275.104;8.785.092.352;maize
62;48;20;2.170.181.447;6.047.470.519;6.708.446.922;9.571.388.473;maize
86;37;16;2.051.716.779;5.921.235.483;5.561.510.732;6.761.013.737;maize
94;50;19;2.330.355.338;7.362.548.442;5.873.242.491;9.759.081.274;maize
76;39;24;242.547.451;5.564.709.899;6.995.843.776;6.423.845.455;maize
77;52;17;2.486.374.934;657.420.046;5.714.799.723;7.582.270.467;maize
74;39;23;226.265.115;6.577.472.881;678.073.637;8.817.251.033;maize
81;49;20;1.804.185.513;6.061.494.304;5.513.697.923;1.042.321.615;maize
63;42;21;2.326.237.612;7.233.125.523;5.798.423.907.999.990;6.710.225.139;maize
99;38;21;2.288.330.922;7.159.722.446;6.352.471.866;6.772.777.298;maize
90;52;25;2.597.482.359;6.936.385.721;6.822.586.546;1.032.234.212;maize
68;40;19;2.614.384.005;6.620.569.924;6.655.426.355;1.072.361.366;maize
60;57;24;1.866.116.213;6.155.327.249;61.212.940.410.000.000;7.503.247.667;maize
71;52;18;2.510.787.449;5.597.732.754;5.790.770.202.999.990;7.816.077.693;maize
61;59;17;2.333.844.615;5.924.580.604;647.444.292;1.050.083.144;maize
88;38;15;2.508.239.719;6.592.195.844;6.455.116.637.000.000;6.249.190.812;maize
65;60;22;2.536.768.364;7.252.054.555;66.069.840.860.000.000;1.079.124.111;maize
78;37;22;2.534.217.103;6.331.801.994;6.330.554.389;7.452.082.026;maize
78;58;15;2.500.933.355;67.816.568;65.286.312.660.000.000;6.291.359.494;maize
92;60;23;1.866.746.724;71.516.474;5.721.667.141;6.993.293.255;maize
79;59;17;2.037.999.665;6.373.849.998;6.644.205.485;1.085.054.416;maize
91;55;15;1.809.300.227;7.261.024.172;6.376.651.091;7.896.159.541;maize
76;51;18;2.616.985.907;7.196.246.617;6.247.040.422;7.984.925.393;maize
87;48;25;1.865.396.672;6.137.879.671;6.656.730.007.999.990;9.362.039.175;maize
71;60;22;2.607.470.121;5.937.147.589;62.048.017;8.575.692.395;maize
90;57;24;1.892.851.916;7.280.086.137;6.158.860.284;8.234.162.918;maize
67;35;22;2.330.546.753;6.324.648.023;63.856.842.139.999.900;1.087.603.001;maize
60;54;19;1.874.826.712;6.249.878.458;6.417.820.493;7.023.401.597;maize
83;58;23;1.974.213.321;5.966.263.104;6.381.201.909;6.550.861.389;maize
83;57;19;2.573.044.432;7.074.739.256;6.877.869.005;9.873.771.338;maize
40;72;77;1.702.498.456;1.698.861.173;7.485.996.067;8.855.123.143;chickpea
23;72;84;1.902.061.277;1.713.159.126;6.920.251.378;7.992.698.081;chickpea
39;58;85;1.788.776.475;1.540.589.717;59.969.320.370.000.000;6.854.932.919;chickpea
22;72;85;1.886.805.647;1.565.809.214;6.391.173.589;8.851.048.983;chickpea
36;67;77;1.836.952.567;1.956.381.041;7.152.811.172.000.000;7.926.357.665;chickpea
32;73;81;2.045.078.582;1.540.312.102;5.988.992.796.000.000;9.268.373.702;chickpea
58;70;84;206.543.203;1.660.820.843;6.231.049.027.999.990;746.631.118;chickpea
59;70;84;173.348.681;1.874.926.979;7.550.808.267.000.000;8.261.734.721;chickpea
42;62;75;1.817.912.258;1.890.426.935;7.010.570.541;8.184.997.529;chickpea
28;74;81;1.801.272.266;1.830.968.112;8.753.795.334;8.198.568.791;chickpea
58;66;79;2.099.373.558;1.933.470.387;8.718.192.847.000.000;9.355.280.105;chickpea
43;66;79;1.946.233.971;1.522.538.951;7.976.607.593;7.458.565.097;chickpea
58;63;81;1.981.344.531;1.469.765.308;65.154.995.489.999.900;7.896.514.709;chickpea
23;62;85;1.897.424.756;195.161.216;8.490.127.142;807.108.745;chickpea
27;62;77;1.819.737.048;1.471.070.537;6.576.415.562;7.018.185.181;chickpea
28;72;84;1.872.963.144;1.918.197.264;6.481.783.042.999.990;7.158.010.169;chickpea
50;56;76;2.099.502.153;198.601.304;7.966.605.025;7.350.734.019;chickpea
39;71;84;2.028.155.898;1.639.535.215;8.140.825.437;8.252.339.655;chickpea
25;78;76;1.748.042.641;157.559.405;7.228.963.452;6.696.980.581;chickpea
31;70;77;2.088.818.675;1.432.313.811;6.492.546.046;9.046.228.334;chickpea
26;80;83;1.708.498.521;1.614.565.756;7.528.599.957.000.000;7.131.007.253;chickpea
25;68;77;2.009.340.593;1.511.279.612;7.701.446.446;8.574.904.898;chickpea
31;78;76;1.757.212.145;1.499.927.489;8.519.975.748;8.931.050.665;chickpea
60;68;83;1.912.065.218;1.843.475.844;6.620.900.869;8.552.950.164;chickpea
59;62;83;1.857.665.902;1.922.008.229;8.104.396.057.999.990;7.294.940.441;chickpea
22;67;78;1.716.606.398;1.442.457.525;6.204.090.835;7.232.667.516;chickpea
36;65;80;182.872.007;1.667.921.616;6.051.091.339;7.487.445.574;chickpea
59;60;84;1.903.025.305;1.866.725.565;7.690.962.337.999.990;9.470.992.037;chickpea
54;77;85;17.141.861.399.999.900;170.662.427;78.292.111.439.999.900;8.374.606.679;chickpea
43;68;81;1.747.809.436;1.793.253.975;6.761.599.706;7.892.060.234;chickpea
28;76;82;2.056.601.874;1.425.803.981;6.654.425.315;8.375.937.135;chickpea
42;79;85;1.722.385.224;1.582.069.268;6.129.533.877;7.657.580.954;chickpea
32;60;83;1.969.141.713;1.944.225.438;8.829.273.328;9.176.071.648;chickpea
22;78;76;1.784.851.658;1.909.172.907;8.621.662.982;7.632.470.713;chickpea
31;79;75;188.202.251;161.074.793;8.204.862.075;8.973.119.396;chickpea
28;58;81;1.747.500.984;1.654.314.829;618.042.747;9.335.034.262;chickpea
57;58;77;1.872.649.425;1.758.406.365;7.978.996.755;8.120.176.515;chickpea
49;55;78;1.865.580.107;1.617.772.668;7.863.113.671;8.170.769.297;chickpea
46;76;77;182.356.751;1.968.538.502;6.967.843.048;8.374.879.344;chickpea
54;61;77;1.881.198.127;1.521.618.225;6.206.582.192.999.990;7.754.294.240.000.000;chickpea
38;60;76;1.865.054.116;1.780.852.431;8.868.741.443;7.792.798.682;chickpea
59;55;79;2.036.720.401;1.689.574.311;8.766.128.654;822.545.577;chickpea
36;76;75;1.838.120.357;1.663.805.158;8.736.337.905;7.052.056.697;chickpea
57;68;81;1.717.012.591;1.730.457.712;8.081.095.263;7.278.624.223;chickpea
35;66;81;1.937.101.121;1.577.458.129;6.138.243.973;8.524.819.851;chickpea
35;64;78;1.792.845.928;1.427.327.988;7.496.645.259;8.537.378.769;chickpea
52;60;79;1.945.339.934;1.823.490.739;8.380.185.271;756.317.566;chickpea
27;76;83;1.912.829.388;1.492.241.479;6.289.614.016;8.961.857.826;chickpea
57;60;84;191.034.283;1.726.184.541;6.586.777.189;7.549.101.167;chickpea
52;68;78;1.748.504.075;1.696.070.581;689.655.198;8.605.078.037;chickpea
43;79;79;1.940.751.744;1.898.030.507;78.067.476.560.000.000;8.025.064.637;chickpea
44;74;85;2.018.649.426;1.963.719.995;7.150.681.303;7.826.039.559;chickpea
24;55;78;1.730.287.885;1.515.405.941;664.919.573;7.557.790.384;chickpea
29;77;75;1.750.361.137;1.548.083.156;7.778.591.617.999.990;729.446.671;chickpea
20;60;78;1.817.234.999;1.470.085.967;6.358.740.355;907.760.707;chickpea
56;67;78;1.757.445.618;1.671.826.572;8.255.450.758;7.781.891.424;chickpea
37;66;85;2.093.175.255;1.891.295.403;6.456.148.474;7.806.910.795;chickpea
49;71;76;1.971.098.332;1.763.879.418;6.613.072.145;8.557.925.437;chickpea
59;69;80;1.907.937.684;1.786.754.927;8.165.359.297;6.940.619.137;chickpea
20;79;77;1.854.988.627;1.602.542.689;764.867.466;7.632.565.249;chickpea
24;56;85;1.819.903.647;1.741.333.199;6.545.888.558;806.405.403;chickpea
51;72;75;1.888.852.533;1.499.451.145;71.042.247.970.000.000;8.011.133.840.000.000;chickpea
57;73;85;1.849.311.205;1.472.115.044;7.358.099.622;9.194.595.352;chickpea
22;64;82;1.948.974.337;1.717.260.319;64.740.245.000.000.000;8.751.312.796;chickpea
52;73;79;1.725.769.499;1.874.943.955;7.840.339.388.999.990;9.400.287.214;chickpea
29;75;75;1.962.416.326;1.871.483.156;7.064.790.365;884.585.692;chickpea
44;59;78;2.067.526.473;1.985.388.984;7.599.033.472;8.478.344.008;chickpea
41;69;82;2.002.381.489;1.663.294.455;6.715.587.232.000.000;6.897.806.542;chickpea
52;56;85;20.118.744.600.000.000;1.444.228.303;681.712.422;8.868.168.643;chickpea
34;76;80;2.065.691.793;1.584.572.566;7.985.417.393;6.523.811.143;chickpea
42;74;83;192.582.557;142.804.191;7.545.258.424;6.578.042.032;chickpea
34;71;79;17.927.806;1.585.622.899;7.728.998.197;7.463.872.762;chickpea
27;73;79;1.916.288.268;1.583.500.655;7.354.973.451;8.269.766.829;chickpea
30;70;79;2.026.942.271;1.996.978.871;7.313.122.235;6.964.449.182;chickpea
57;57;75;1.709.104.223;1.825.142.068;7.785.039.076;8.727.444.866;chickpea
27;79;82;1.706.579.293;1.754.024.066;6.307.004.922.999.990;7.087.150.577;chickpea
32;71;85;2.062.767.492;1.444.008.871;64.039.823.160.000.000;9.206.630.306;chickpea
31;76;82;208.248.451;1.785.057.083;7.599.279.991;7.920.509.212;chickpea
33;75;84;1.946.210.401;1.872.831.993;7.217.018.459;6.881.405.149;chickpea
47;80;77;1.718.248.372;1.642.891.834;7.561.108.006;7.285.017.344;chickpea
54;62;80;1.748.911.699;1.639.055.394;7.489.545.074;7.945.758.333;chickpea
47;79;78;1.748.395.377;1.476.014.523;6.609.696.734;6.511.365.631;chickpea
35;57;83;1.948.316.794;1.744.534.641;7.476.800.943;804.986.291;chickpea
53;73;77;1.971.359.733;1.809.665.739;7.325.451.279;7.364.476.535;chickpea
45;61;78;1.948.649.305;1.606.240.074;6.489.389.282;8.152.842.690.000.000;chickpea
37;78;79;1.995.264.829;1.482.633.099;7.786.366.322;886.810.311;chickpea
30;75;81;1.941.789.736;1.680.472.243;64.084.378.860.000.000;684.951.189;chickpea
37;55;82;1.945.591.848;1.802.235.902;8.423.873.703;7.844.910.564;chickpea
53;65;76;2.019.137.759;1.641.998.269;8.719.960.893;7.733.795.356;chickpea
22;60;85;188.392.908;1.474.071.856;7.811.997.977.000.000;9.478.189.594;chickpea
60;61;78;2.071.219.282;1.983.643.308;6.317.153.205;9.403.659.867;chickpea
42;67;77;1.899.424.448;159.362.937;7.114.405.288;7.869.707.199;chickpea
39;76;76;1.996.837.462;1.557.324.389;8.135.900.726.000.000;6.915.759.062;chickpea
35;63;76;1.781.564.548;1.760.756.635;7.714.153.037.999.990;9.082.097.601;chickpea
30;65;82;2.071.424.384;1.527.824.066;7.103.798.069;7.677.888.672;chickpea
57;56;78;1.734.150.229;1.875.626.255;8.861.479.668;679.545.435;chickpea
48;65;78;1.743.732.714;1.433.847.406;7.861.128.148;730.926.704;chickpea
36;56;83;1.889.780.215;1.976.182.946;74.526.709;6.909.512.477;chickpea
40;58;75;1.859.190.771;1.477.959.596;7.168.096.055;8.960.982.451;chickpea
49;69;82;1.831.561.493;1.536.143.547;726.311.855;8.178.710.463;chickpea
13;60;25;1.713.692.774;2.059.541.693;568.597.166;128.256.862;kidneybeans
25;70;16;1.963.474.332;1.890.705.639;5.759.237.003;1.063.598.183;kidneybeans
31;55;22;2.291.350.245;2.133.953.114;5.873.171.894;109.225.556;kidneybeans
40;64;16;1.643.340.342;2.424.045.875;5.926.676.985;1.403.717.815;kidneybeans
2;61;20;2.213.974.653;2.302.251.117;595.561.668;7.664.128.258;kidneybeans
26;65;22;1.784.806.561;1.877.621.951;59.499.490.810.000.000;14.309.841.709.999.900;kidneybeans
17;57;21;1.988.394.011;2.031.564.139;57.892.142.889.999.900;6.091.974.792;kidneybeans
26;80;18;1.932.509.638;233.334.788;5.581.021.521;1.047.783.947;kidneybeans
17;59;17;18.416.700.100.000.000;2.342.829.938;5.689.858.133;1.329.801.054;kidneybeans
27;59;22;2.181.167.649;2.320.591.245;57.941.585.039.999.900;1.300.608.093;kidneybeans
28;58;24;1.972.702.528;1.828.173.015;5.748.190.462.999.990;1.437.630.894;kidneybeans
25;57;19;1.715.432.954;1.987.070.659;5.566.522.896;8.799.669.731;kidneybeans
28;80;17;1.962.207.826;1.867.170.854;5.809.419.584;1.441.567.454;kidneybeans
25;60;22;2.163.149.148;2.117.919.701;5.887.263.027;1.343.649.948;kidneybeans
12;78;23;1.606.522.754;1.872.479.695;599.812.453;8.806.638.775;kidneybeans
6;77;25;2.061.162.204;2.436.314.135;5.792.744.849;6.963.833.855;kidneybeans
22;79;17;2.142.451.099;2.039.659.714;5.912.289.889;1.165.206.923;kidneybeans
27;80;15;1.907.096.165;2.121.092.266;57.883.869.510.000.000;8.621.917.578;kidneybeans
10;55;23;2.118.853.178;1.963.438.599;5.728.233.081;1.371.948.633;kidneybeans
23;65;20;230.429.097;2.242.610.972;5.833.940.084;1.083.684.316;kidneybeans
19;78;16;2.065.375.833;2.310.538.637;5.967.533.236;6.771.768.947;kidneybeans
19;65;25;1.809.551.014;1.829.318.436;56.250.964.460.000.000;1.447.902.323;kidneybeans
22;70;19;1.823.775.702;2.107.643.273;5.515.615.023;6.944.951.585;kidneybeans
37;64;22;1.748.189.735;188.251.973;5.954.665.349;1.219.401.369;kidneybeans
11;71;17;199.191.786;2.147.324.158;574.644.777;8.268.554.379;kidneybeans
18;79;20;2.027.514.686;232.353.604;5.877.347.515;1.397.521.543;kidneybeans
21;63;17;1.577.370.214;192.303.162;5.979.973.965;1.083.441.414;kidneybeans
